date,oblast,alert_hours,year,month,weekday
2022-04-03,Kyiv City,8,2022,4,Sunday
2022-04-03,Kyivska oblast,8,2022,4,Sunday
2022-04-03,Lvivska oblast,5,2022,4,Sunday
2022-04-03,Mykolaivska oblast,4,2022,4,Sunday
2022-04-03,Odeska oblast,8,2022,4,Sunday
2022-04-03,Poltavska oblast,9,2022,4,Sunday
2022-04-03,Rivnenska oblast,8,2022,4,Sunday
2022-04-03,Sumska oblast,7,2022,4,Sunday
2022-04-03,Ternopilska oblast,8,2022,4,Sunday
2022-04-03,Vinnytska oblast,7,2022,4,Sunday
2022-04-03,Volynska oblast,8,2022,4,Sunday
2022-04-03,Zakarpatska oblast,3,2022,4,Sunday
